t31341aep|DNLI3_HUMAN,0.0300223233843203
t31303aep|AB1IP_CHICK,0.0635458852905957
t31358aep|UBX11_RAT,0.0132493534039994
t31316aep|ROR1_HUMAN,0.435423446475667
t31324aep|DOT1L_HUMAN,0.0254332869376986
t31327aep|HMCN1_HUMAN,0.0277102607810287
t31333aep|WSDU1_DANRE,0.0716067787991363
t37310aep|TMC7_HUMAN,0.0264939215467997
t37272aep|ZBED1_HUMAN,0.0277102607810287
t37308aep|RTBS_DROME,0.0277102607810287
t37250aep|SMG8_CULQU,0.0503431217631641
t37307aep|SPTCS_HUMAN,0.0418246825823262
t37276aep|SETMR_HUMAN,0.0277102607810287
t31485aep|TOR1A_MACFA,0.495244955130916
t31517aep|PTPRE_RAT,0.0277102607810287
t31534aep|RTXE_DROME,0.0277102607810287
t31547aep|CNTRB_MOUSE,0.0106999861956087
t31545aep|NEK10_MOUSE,0.0730743666308149
t31245aep|ZN266_HUMAN,0.00421421644952923
t31533aep|FRS5_ARATH,0.0277102607810287
t31515aep|POL4_DROME,0.0277102607810287
t34421aep|GTD2A_HUMAN,0.0277102607810287
t34397aep|ZBED1_HUMAN,0.34958220855921
t34398aep|ZBED1_HUMAN,0.301396285359224
t34401aep|WAP53_RAT,0.0503139267170533
t34425aep|ZMYM1_HUMAN,0.0669752521062709
t34424aep|TRY3_SALSA,2.49809941337396
t31238aep|UNC89_CAEEL,0.0550685399346668
t34362aep|POL4_DROME,0.0277102607810287
t32521aep|POGK_MOUSE,0.0277102607810287
t32570aep|SYT11_HUMAN,0.0471005657169158
t32528aep|RTJK_DROME,0.0277102607810287
t32529aep|LOXH1_MOUSE,0.399871083988543
t32571aep|RTBS_DROME,0.250169830359177
t31234aep|UCHL3_HUMAN,0.0670070721983766
t38292aep|BVMO2_STRCO,0.477419951180665
t38303aep|IFT81_MOUSE,0.283131336128418
t38284aep|WDR66_HUMAN,0.0416132352017948
t38295aep|Y1931_DICDI,0.0277102607810287
t38315aep|CP131_DANRE,0.13309909516637
t38257aep|RAG1_XENLA,0.0950689626937336
t38310aep|FGFR3_DANRE,0.0153659199187256
t32021aep|YRD6_CAEEL,0.0277102607810287
t32013aep|ZIFL1_ARATH,0.0187513571110067
t31997aep|ZNFX1_MOUSE,0.179935057735652
t32012aep|TTC3_HUMAN,0.0566178655090128
t35471aep|FHAD1_HUMAN,0.154503980890754
t35488aep|AGO2_HUMAN,1.12093976600386
t35454aep|PK1L2_HUMAN,0.0277102607810287
t35477aep|RTJK_DROME,0.164408671973132
t35510aep|DOCK6_HUMAN,0.034608463515268
t35461aep|THAP9_HUMAN,0.124290805348605
t35446aep|CRA1B_DANRE,0.0242230363773569
t31770aep|VWA3B_HUMAN,0.0113726631362558
t37568aep|DLEC1_HUMAN,0.0168743184028312
t37526aep|TCB1_CAEBR,0.0277102607810287
t37553aep|TRA1_MAIZE,0.558753137592457
t37551aep|POGK_HUMAN,0.0210202618865278
t33011aep|PELET_DROME,0.00338561042414151
t32976aep|ZMYM1_HUMAN,0.152553064599293
t33022aep|R213A_DANRE,0.114032763082919
t33020aep|TSP3_MOUSE,0.170098894161958
t32967aep|TRA1_MAIZE,0.0277102607810287
t32983aep|LRRK2_MOUSE,0.0168901393210458
t33004aep|CNTP2_HUMAN,0.56109258975431
t35592aep|SE1L2_HUMAN,0.0903733122556885
t35590aep|RTBS_DROME,0.135719690359024
t35608aep|DDX60_HUMAN,0.0152258069117912
t31763aep|RN103_MOUSE,0.00744109088193526
t35573aep|SHL2_ORYSJ,0.359745868623082
t34215aep|SETMR_RAT,0.167274467215958
t34214aep|RTJK_DROME,0.0277102607810287
t34201aep|RTJK_DROME,0.0596073402651999
t34219aep|POL5_DROME,0.0206458187556922
t34247aep|TC1A_CAEEL,0.0647708105186569
t34267aep|H2B3_TIGCA,0.0092115163508409
t34240aep|ZMYM1_HUMAN,0.135138616256492
t34261aep|AGRL3_BOVIN,0.0281506350592384
t34249aep|TRA1_MAIZE,0.0449522348406683
t34230aep|RTBS_DROME,0.0277102607810287
t34276aep|AGRG4_HUMAN,0.0171346140682755
t34246aep|THAP9_HUMAN,0.0695323569816971
t37916aep|DEAH5_ARATH,0.00679224149705128
t37937aep|AL14E_RAT,0.0536478190837928
t31769aep|HEM4_HUMAN,0.00833748286831407
t37902aep|TRAF4_HUMAN,0.278250901387831
t37855aep|THAP9_HUMAN,0.0500147996276575
t37336aep|ZMYM1_HUMAN,0.18079422694375
t37327aep|TCB2_CAEBR,0.0292328539472276
t31773aep|OST4_RAT,0.0119596496905806
t32083aep|OPN4_BRABE,0.169549393044403
t32087aep|RPC9_BOVIN,0.0188199819230431
t34039aep|BAI1_MOUSE,0.0277102607810287
t31596aep|HSP13_HUMAN,0.160887586313535
t31595aep|ACBD6_RAT,0.0355615380666348
t37601aep|PROF_SUBDO,0.0001339710395363
t36826aep|LYAG_RAT,0.0550685399346668
t36827aep|CAC1D_MESAU,0.0322890017212678
t36625aep|SEC20_HUMAN,0.00337112884863284
t36624aep|UFSP1_MOUSE,0.00870991790517127
t36621aep|ENGB_ACIET,0.0277102607810287
t37209aep|TRAF6_BOVIN,0.141094561104605
t31603aep|RCD1_PONAB,0.0277102607810287
t34840aep|DYH5_HUMAN,0.0550685399346668
t34853aep|FUT4_HUMAN,1.11157608464225
t34133aep|TM2D1_HUMAN,0.00378760603611239
t34122aep|MAD1_MOUSE,0.00580530000292261
t34911aep|HSP70_HYDVU,0.397390783259683
t35745aep|OARD1_MOUSE,0.249072112254995
t34584aep|SIL1_MOUSE,0.0614653416042517
t35746aep|ASPM_PONPY,0.0277102607810287
t34588aep|Y9963_DICDI,0.0277102607810287
t34113aep|SPCS1_DROME,0.461690788619237
t34121aep|YETS2_MOUSE,0.0888052533607051
t34069aep|ERIP6_HUMAN,0.0165986325749253
t34075aep|HYDIN_MOUSE,0.0783257321140727
t33681aep|PFD1_HUMAN,0.12683059848133
t34824aep|PCR3_ARATH,0.00957767141601098
t34821aep|CTP5A_MOUSE,0.0550685399346668
t36641aep|ELMD3_BOVIN,0.00409018919357182
t38006aep|DRD2A_XENLA,0.0277102607810287
t35637aep|RNF11_MOUSE,0.113966230546313
t33636aep|K1586_HUMAN,0.0277102607810287
t33638aep|TRPC5_RABIT,0.0277102607810287
t33335aep|PIGP_MOUSE,0.0638100686746976
t34627aep|COXM1_BOVIN,0.0679707596974017
t34633aep|TF2H5_CHICK,0.0187272058332774
t34628aep|LYRM4_TAEGU,0.0254552857359131
t35109aep|COX17_CANLF,0.0971345698669925
t31561aep|F210B_MOUSE,0.0399191843631694
t31471aep|APOB_RAT,0.0415591050612625
t33313aep|EMC4_XENTR,0.118572385034661
t34613aep|ANO6_MOUSE,0.0437558410226121
t38527aep|ANK1_HUMAN,0.0778716690095732
t38086aep|PIHD1_XENLA,0.0817726932301222
t38088aep|ROBO3_HUMAN,0.00605566190665607
t35525aep|RS28_ICTPU,0.00726713738820498
t36448aep|RL27_HIPCM,0.00813172677837298
t34292aep|HOP2_MOUSE,0.021824401916683
t38395aep|ATM_HUMAN,0.0308564685903377
t32130aep|NPC2_DROME,0.0511088639438971
t32133aep|SCOCB_DANRE,0.0851510746949324
t35715aep|RN181_DANRE,0.249570109388057
t37825aep|TM14C_DANRE,0.309954510207868
t37830aep|CNOT1_MOUSE,0.0277102607810287
t37833aep|CI116_SALSA,0.314691896882348
t36013aep|GSTT1_BOVIN,0.021637899705482
t36020aep|ADCY9_MOUSE,0.254218893751007
t36195aep|PYGO_DROME,0.0501503909165238
t36201aep|B4GN4_HUMAN,0.0150812840796303
t33793aep|PLEC_HUMAN,0.013839757375606
t35946aep|PIGW_RAT,0.0277102607810287
t33956aep|LYRM5_SALSA,0.231869719172794
t33282aep|PGAP1_RAT,0.0277102607810287
