t37416aep|DEN1A_XENLA,0.145894715946839
t37395aep|CC148_HUMAN,0.0842066097037438
t37417aep|GRM8_RAT,0.0448115832700619
t37426aep|MALT1_HUMAN,0.0336183271222952
t37401aep|FNIP1_CHICK,0.143563860871136
t37421aep|RIMB1_RAT,0.00523857880922989
t37420aep|TTLL6_DANRE,0.433627515921331
t32202aep|B4GN4_HUMAN,0.0304274749120168
t32210aep|VIAAT_XENTR,0.209453290742086
t32212aep|PIGB_BOVIN,0.0289084496087519
t32204aep|GON4L_HUMAN,0.0176176943037251
t32193aep|TCB2_CAEBR,0.00898305494775122
t32206aep|EGL15_CAEEL,0.0442930172365124
t32191aep|TC1A_CAEEL,0.00898305494775122
t32200aep|S35F6_HUMAN,0.225054119990308
t32192aep|MALT1_HUMAN,0.0856154344082814
t38735aep|KAPR2_DROME,1.95134134249436
t38730aep|FBN1_PIG,0.00898305494775122
t38720aep|RTKN_HUMAN,0.0461960164246541
t38728aep|EPB1B_XENLA,0.0820058576342112
t38731aep|SAC2_DANRE,0.0413711760925037
t38147aep|TCB2_CAEBR,0.00898305494775122
t38154aep|S35E1_RAT,0.0171696554539546
t38160aep|P52K_HUMAN,0.00898305494775122
t38172aep|CCD13_HUMAN,0.253660883002197
t38155aep|FUCL_ANGAN,0.0179556643073071
t38152aep|TNPO3_HUMAN,0.0731660863765996
t38146aep|MLP_ACRMI,0.0179556643073071
t38169aep|CARTF_RAT,0.00708950860026478
t37740aep|SAL_SILAS,0.189770544057333
t37750aep|ABHD8_BOVIN,0.0732348341354464
t37746aep|USH2A_HUMAN,0.00898305494775122
t37761aep|ADRB2_MOUSE,0.00898305494775122
t37760aep|RTJK_DROME,0.00588109905429561
t37763aep|ACBG2_XENLA,0.00435125509733561
t33049aep|RTJK_DROME,0.00468282741511647
t33040aep|IQCB1_MOUSE,0.0534455462330663
t33045aep|AT8B2_HUMAN,0.527717614892903
t33073aep|PMGT1_BOVIN,0.0874568012590008
t33037aep|MED4_RAT,0.00961819362104274
t33048aep|CAN7_HUMAN,0.0194630569278425
t32607aep|SMYD4_PONAB,0.122945391074387
t37484aep|HMP_OCEIH,0.331434731299276
t32591aep|ACSF2_MOUSE,0.052627975147763
t32600aep|TRPA1_CAEEL,0.00228472942944629
t32609aep|OPTN_DANRE,0.621787351315863
t32590aep|SGSM1_MOUSE,0.0226078504663359
t32601aep|CYTSA_DANRE,1.0629641669589
t32589aep|DHDH_XENTR,0.0407685862894582
t35655aep|NPHP3_HUMAN,0.491071124546135
t35677aep|PGDH_HUMAN,0.994825543692721
t35676aep|ANK3_HUMAN,0.0669192381529929
t31412aep|FND3A_HUMAN,0.0116008208059432
t31393aep|MEC2_CAEEL,0.244768167549058
t31400aep|WDR93_HUMAN,0.129808867508699
t31424aep|CFA57_MOUSE,0.0562826981125796
t31407aep|TRF6A_XENLA,0.070991363313464
t31409aep|TRF6A_XENLA,0.914797513855451
t31408aep|TRF6A_XENLA,0.856570302973654
t31410aep|ANKF1_HUMAN,0.130156511002159
t31430aep|ARGI1_HUMAN,0.0223502803314867
t37801aep|FA69C_MOUSE,0.00898305494775122
t37791aep|Y381_RICFE,0.212348292396151
t37797aep|TRI56_MOUSE,0.0953973230629743
t37778aep|TC1A_CAEEL,0.00898305494775122
t37800aep|ZMYM1_HUMAN,0.0269179048754282
t37786aep|RTBS_DROME,0.0179556643073071
t37803aep|SPNS1_DANRE,0.115806658049254
t35794aep|SNX7_HUMAN,0.0943505985047911
t35821aep|RTXE_DROME,0.00898305494775122
t35785aep|KCNA1_RAT,0.0179556643073071
t35793aep|CND1_XENLA,0.0438823825154687
t35823aep|FYCO1_MOUSE,0.0428334257658462
t34507aep|SAMD9_HUMAN,0.0250946407624109
t34532aep|TFF3_RAT,0.0179556643073071
t34490aep|PK1L2_MOUSE,0.0208300110186476
t34517aep|ATG9A_PONAB,0.252568890984845
t34493aep|VPP1_MOUSE,0.189138627065847
t34506aep|C163A_CANLF,0.00898305494775122
t34497aep|CHIT3_DROME,1.05524690507665
t34536aep|NALP7_HUMAN,0.00396585356117969
t34538aep|NAL12_HUMAN,0.139245889379187
t37144aep|PGBD4_HUMAN,0.00898305494775122
t37125aep|RTXE_DROME,0.00898305494775122
t37155aep|MRC1_MOUSE,0.00354067712345879
t37168aep|M3K3_HUMAN,0.118004051961045
t37152aep|MACF1_HUMAN,0.332589094174871
t37136aep|MRE11_RAT,0.000941332578116072
t37161aep|CFA69_PAPAN,0.0390766941682383
t37164aep|PSD10_DICDI,0.00595925364931903
t37143aep|SETMR_HUMAN,0.00898305494775122
t37138aep|MED1_HUMAN,0.0351173941300954
t37162aep|LTBP4_HUMAN,0.00898305494775122
t36805aep|SZT2_MOUSE,0.00898305494775122
t36813aep|KCNQ2_MOUSE,0.00898305494775122
t36774aep|GGT1_RAT,0.0746552790015726
t36775aep|ANKE1_HUMAN,0.0575452827983298
t36802aep|LRK1_CAEEL,0.133222688028176
t36771aep|TM175_DANRE,0.513062071057206
t36785aep|PGBD4_HUMAN,0.0179556643073071
t36809aep|CE104_HUMAN,0.000385262386993921
t31809aep|KPCA_RAT,0.0868302725267118
t31783aep|DMBT1_RABIT,0.0167160218049504
t31812aep|ARHGI_MOUSE,0.100517932396199
t31788aep|PRKDC_XENLA,0.0177404457658254
t31811aep|UBIQ_ENCCU,0.000538722366436494
t31810aep|TF28_SCHPO,0.00898305494775122
t31804aep|P53_TETMU,0.0231994927412215
