t25237aep|ASIC3_HUMAN,0.0123943452267083
t3968aep|NDF4_HUMAN,0.0162602342233453
t25225aep|APLP_LOCMI,0.019223852803853
t25232aep|KI18A_HUMAN,0.00585251769383745
t3974aep|ELAV2_XENTR,0.0115119425038208
t25231aep|CE290_MOUSE,0.0317870541305943
t18753aep|GPX5_PIG,0.0257207057807523
t7408aep|NALD2_MOUSE,1.93744520305692
t7418aep|TYRO_STRGA,0.0257207057807523
t7419aep|MAF1_MOUSE,0.0493757814112227
t7395aep|ATG12_HUMAN,0.0419747113995873
t12001aep|MORN4_BOVIN,0.0257207057807523
t21164aep|ATS18_MOUSE,0.0106101617877019
t1806aep|HEXA_HUMAN,1.33898917328959
t24325aep|YKX5_SCHPO,0.0257207057807523
t3545aep|P4HTM_MOUSE,1.90376566636526
t25004aep|TR1L1_XENLA,0.372416250110541
t25001aep|OPSD_SCYCA,0.0257207057807523
t25017aep|PGBM_HUMAN,0.13202316600836
t24999aep|FOXO_DROMO,0.107831549262974
t29421aep|PRY3_YEAST,1.27191576732304
t29417aep|OGA_RAT,0.0375759297277482
t12028aep|OBG_THEPX,0.0230680080356821
t18623aep|PRAF1_HUMAN,0.0143882558730709
t26617aep|ASB14_MOUSE,0.0257207057807523
t27574aep|PRD14_MOUSE,0.0142159357836685
t26598aep|KMCP1_MOUSE,0.0844321688303291
t12027aep|ECE1_CAVPO,1.11587230957194
t7359aep|FKBP7_PONAB,0.0418149891972329
t26322aep|ZIFL1_ARATH,0.0257207057807523
t2504aep|LOL2B_DANRE,0.00145059615510953
t7356aep|EGL44_CAEEL,0.439100250559699
t24218aep|EXOC1_MOUSE,0.0604150156649587
t1499aep|NAS13_CAEEL,0.322797018726167
t25826aep|UGDH_MOUSE,0.878380924521151
t5462aep|CCKAR_CAVPO,0.39157482498434
t29942aep|VAMP4_BOVIN,0.539399957254817
t29939aep|B3GN5_HUMAN,0.0510765551060313
t29932aep|MRP1_HUMAN,0.0257207057807523
t17367aep|GRM3_RAT,0.0510765551060313
t29113aep|MSRA_DROME,0.0915983336665357
t17359aep|NAT9_NEMVE,0.00151907336390288
t17368aep|ING5_MOUSE,0.069695623333014
t10991aep|COCA1_HUMAN,0.0625301890195832
t10996aep|VGLU2_HUMAN,1.27629442363074
t27320aep|FBN1_PIG,0.0510765551060313
t10334aep|HYOU1_DANRE,0.00217150891515168
t2510aep|ZBT40_HUMAN,0.0132295896387764
t27117aep|TRI23_MOUSE,0.00315306642690226
t31101aep|NAS14_CAEEL,0.0393295920933656
t25457aep|DYH1_RAT,0.0166936292011215
t25456aep|PDZD2_RAT,0.196490547211401
t17017aep|CP17A_RANDY,0.0257207057807523
t22898aep|ZDHC3_MOUSE,0.00427619917786983
t10417aep|ARL2_HUMAN,0.029646763938283
t27146aep|NVL_MOUSE,1.06957319669442
t30736aep|RNOY_CRAGI,0.0847947337849818
t22550aep|TCB1_CAEBR,0.0257207057807523
t30750aep|SIBD2_CUPSA,0.126682405801113
t4445aep|CDT1_XENLA,0.00299034739632897
t4431aep|ACMSD_RAT,0.00982892344084191
t25403aep|SOX14_XENTR,0.0510765551060313
t18857aep|PRY1_YEAST,0.178901773717398
t28778aep|GGH_MOUSE,1.10061343864669
t18893aep|ENPL_BOVIN,0.275288507580296
t16101aep|EVA1C_HUMAN,0.995350478354789
t16108aep|YTHD2_MOUSE,0.109074958551165
t16099aep|PDDC1_XENLA,0.00240552115562394
t16989aep|AEN_RAT,0.0410790768362409
t29006aep|Y381_RICFE,0.012375440071125
t18858aep|NAS6_CAEEL,0.0226547457002475
t29003aep|EAA2_RAT,0.0137507600488314
t31086aep|HMCN1_HUMAN,0.0257207057807523
t31084aep|MTMR9_MOUSE,0.0305156680013415
t23549aep|UXS1_XENTR,0.0680636902245932
t31083aep|TRPM3_HUMAN,0.0065771268482993
t28504aep|RWA3_ARATH,0.582283769347901
t28503aep|PPIB_CHICK,2.40074986740536
t30857aep|PTPRF_RAT,0.0257207057807523
t24444aep|MFSD6_PIG,0.321578642091285
t24457aep|CRTC1_HUMAN,0.00169680625079541
t27107aep|SLNL1_HUMAN,0.0257207057807523
t27115aep|TMOD3_MOUSE,0.0140566938407161
t27824aep|INX3_DROME,1.5334562043059
t28897aep|YD115_PLAF7,0.027903298866618
t16601aep|ZN808_HUMAN,0.0430005970661887
t29573aep|AF9_HUMAN,0.0251847919928184
t29569aep|BDP1_HUMAN,0.00349812326413108
t27525aep|MUC5B_CHICK,0.0556358233092332
t27530aep|HYDMA_HYDVU,0.0187363281315991
t11805aep|DYST_HUMAN,0.0257207057807523
t24434aep|SAMD8_HUMAN,0.00252174419326456
t21857aep|ERMP1_RAT,0.00672036290489496
t28899aep|SEC63_MOUSE,0.00859719838573349
t30622aep|DGLA_RAT,0.0131593907004464
t4315aep|CEGT_HUMAN,0.0353972434717392
t4316aep|DHTK1_PONAB,0.110281598192046
t4303aep|PCF11_HUMAN,0.310000865136661
t27880aep|ARRD3_MOUSE,0.0917290712421187
t13256aep|CSL3_ONCKE,0.0257207057807523
t13244aep|S6A19_PONAB,0.00725650242204486
t26857aep|FLOWR_DROME,0.076076272056153
t4422aep|RNF38_HUMAN,0.0270743162475139
t9180aep|BMP1_XENLA,0.00803653433339179
t25384aep|TYW5_DANRE,0.00395551627236896
t4420aep|OCTB1_DROME,0.0257207057807523
t25373aep|P5CS_PONAB,0.619130956859271
t25790aep|B4GN3_MOUSE,1.76058264146127
t2815aep|SY65_DROME,0.861130110412043
t24655aep|CASPA_HUMAN,0.0224811965702945
t9194aep|GOGA1_HUMAN,0.639125117846064
t29407aep|LRRK1_HUMAN,0.00105880971084124
t18612aep|ACE_RAT,2.72908467089955
t18616aep|PRY1_YEAST,0.0194018413907932
t18602aep|ZDH20_MOUSE,0.05665990508903
t28449aep|FRM4A_HUMAN,0.141374081349569
t14347aep|GCR1_ARATH,0.0123943452267083
t28448aep|PRRT1_MOUSE,0.00458801840128937
t28436aep|CALM_METSE,0.0257207057807523
t28437aep|CALM_METSE,0.0515130756674623
t28438aep|FH6_ARATH,0.0510765551060313
t28441aep|NR2E1_HUMAN,0.0257207057807523
t27557aep|G3ST3_MOUSE,0.0466346367061185
