t29644aep|NOTC1_XENTR,0.0130711579049142
t17330aep|MET22_MOUSE,0.00658089243826437
t17328aep|AR2BP_PONAB,0.0104070737449164
t17320aep|PHF10_HUMAN,0.000839588820614217
t17347aep|NAS4_CAEEL,0.124769049361941
t17341aep|G3ST3_MOUSE,0.204639208399173
t17351aep|INMT_RABIT,0.0130711579049142
t29082aep|KCNF1_HUMAN,0.00994762969182485
t17310aep|KAD8_HUMAN,0.153378760104418
t17325aep|FHL2_HUMAN,0.197751897410455
t17945aep|PACRG_MOUSE,0.0313397213363108
t29240aep|NDK7_MOUSE,0.477342546057173
t17958aep|KFA_MOUSE,0.281085794060983
t17937aep|GMPR1_HUMAN,0.0130711579049142
t23442aep|RAB38_HUMAN,0.14968802156227
t31037aep|KY_MOUSE,0.031856068880252
t31035aep|TTLL1_BOVIN,0.0130711579049142
t31052aep|GRDP2_ARATH,0.0609300052535199
t23430aep|HMCN1_HUMAN,0.00600887980060888
t10195aep|CFA53_HUMAN,0.608710942024951
t26993aep|FEZF2_BOVIN,0.0336911066434748
t10197aep|COCA1_CHICK,2.31572137858305
t10193aep|ABCAD_MOUSE,0.0134900182004618
t10196aep|TC1A_CAEEL,0.0130711579049142
