t34404aep|RTBS_DROME,0.116861127223053
t34421aep|GTD2A_HUMAN,0.116861127223053
t34386aep|ACD11_CAEEL,0.265102567622442
t34397aep|ZBED1_HUMAN,0.116861127223053
t34360aep|PH4H_RAT,0.13007134893026
t34425aep|ZMYM1_HUMAN,0.4989092747875
t34424aep|TRY3_SALSA,1.53419745375346
t34419aep|CHD1L_DANRE,0.134493083427426
t34377aep|SMAL1_RAT,0.124366774996533
t32564aep|AVIL_HUMAN,0.192083254228639
t32552aep|CTRO_HUMAN,0.0273811489255484
t32570aep|SYT11_HUMAN,0.108893153005302
t32528aep|RTJK_DROME,0.116861127223053
t32529aep|LOXH1_MOUSE,0.116393483783416
t32539aep|P52K_HUMAN,0.116861127223053
t32571aep|RTBS_DROME,0.0965919573239596
t32575aep|PARP4_HUMAN,0.295137480625183
t31234aep|UCHL3_HUMAN,0.0302420322404945
t38275aep|CATIN_HUMAN,0.319715771123948
t38256aep|ODFP2_CHICK,0.118743384583782
t38303aep|IFT81_MOUSE,0.32740956773363
t38315aep|CP131_DANRE,0.154817431995033
t38293aep|NALDL_RAT,0.0616465065621004
t32029aep|TGS1_RAT,0.0431922492726889
t32002aep|HMCN1_HUMAN,0.0484034411885974
t31986aep|ZMYM1_HUMAN,0.416767427197525
t32023aep|RTJK_DROME,0.105225936203156
t32012aep|TTC3_HUMAN,0.495216329960578
t35487aep|SVOP_XENLA,0.314129306969905
t31771aep|TRM7_HUMAN,0.0195740453140943
t35484aep|F200A_HUMAN,0.116861127223053
t35503aep|DSCL1_CHICK,0.835927584112297
t35472aep|DMXL1_HUMAN,0.0995538851631995
t37570aep|PKHG4_HUMAN,0.0496285921942037
t31770aep|VWA3B_HUMAN,0.209378400487532
t37568aep|DLEC1_HUMAN,0.0786669056912175
t37577aep|RTJK_DROME,0.218110476685022
t37569aep|SCND3_HUMAN,0.213195176607008
t32967aep|TRA1_MAIZE,0.116861127223053
t32984aep|RXR_BIOGL,0.00650004287425434
t33008aep|THAP2_MOUSE,0.116861127223053
t35576aep|ZBED4_MOUSE,0.221923291652447
t31763aep|RN103_MOUSE,0.307369571944216
t35587aep|ZBED1_HUMAN,0.0811459950203331
t35620aep|RTJK_DROME,0.0897653369351376
t35604aep|JERKL_HUMAN,0.104000484774999
t35579aep|RTJK_DROFU,0.0891200060818466
t34201aep|RTJK_DROME,0.0943826713889316
t34240aep|ZMYM1_HUMAN,0.116861127223053
t34261aep|AGRL3_BOVIN,0.806372081202238
t34249aep|TRA1_MAIZE,0.106744822129054
t34276aep|AGRG4_HUMAN,0.0789272013566619
t34245aep|AGRG2_MOUSE,0.110370861756403
t34246aep|THAP9_HUMAN,0.0100990065856329
t37916aep|DEAH5_ARATH,0.0959431079390755
t37918aep|PK1L2_MOUSE,0.103516056381739
t31769aep|HEM4_HUMAN,0.178984941065952
t37902aep|TRAF4_HUMAN,0.0569984911881512
t37924aep|PELET_DROME,0.100481943288259
t37901aep|LAR_DROME,0.032571127637553
t37855aep|THAP9_HUMAN,0.238397431179015
t37327aep|TCB2_CAEBR,0.390985187223431
t37329aep|GIN1_PONAB,0.116861127223053
t31773aep|OST4_RAT,0.00101227310864266
t36296aep|ECHM_RAT,0.236368303965056
t31596aep|HSP13_HUMAN,0.278488947258469
t31595aep|ACBD6_RAT,0.0436501748597187
t37601aep|PROF_SUBDO,0.0619265583279228
t37596aep|YBOX1_XENLA,0.00990459685086679
t36835aep|ADPRM_HUMAN,0.0564565908001282
t37199aep|L12R1_BOVIN,0.0188243458541185
t37203aep|PSMG1_BOVIN,0.0558520589620318
t37209aep|TRAF6_BOVIN,0.0271458657860374
t36697aep|SF3B5_HUMAN,0.0110223690922841
t34354aep|NIT1_BOVIN,0.118923333962233
t34122aep|MAD1_MOUSE,1.78638679284281
t35745aep|OARD1_MOUSE,0.132980986071577
t36179aep|RL8_XENLA,0.314598403653141
t35278aep|NOP10_DANRE,0.253650731021906
t31753aep|UCKL1_MOUSE,0.126946614165508
t33674aep|TIM22_XENTR,0.157245938292905
t32706aep|BGAL2_DICDI,0.116861127223053
t34818aep|DUS22_HUMAN,0.478962545645202
t34824aep|PCR3_ARATH,0.0987285378580353
t36640aep|RT21_HUMAN,0.138913462784097
t36641aep|ELMD3_BOVIN,0.0771954753940129
t35628aep|CENPS_XENLA,0.0929185378099918
t37608aep|FLVC2_HUMAN,0.116861127223053
t36138aep|RCAN1_PONAB,0.0247607904829965
t35637aep|RNF11_MOUSE,0.102099816867606
t33325aep|KCNH2_MOUSE,0.116861127223053
t33335aep|PIGP_MOUSE,0.0985853997984292
t34636aep|RAB4B_DANRE,0.0979146605957676
t35109aep|COX17_CANLF,0.758409924503791
t35110aep|TOX4_PONAB,0.0932411595795539
t34617aep|VPS8_HUMAN,0.051059397579499
