t35134aep|PK1L2_HUMAN,0.0363625500783383
t38380aep|PTN23_MOUSE,0.18879383325789
t38376aep|FLOWR_DROVI,0.829297949932255
t38381aep|SSRB_CANLF,0.531370799370644
t38382aep|RM33_TETNG,0.00174203517206507
t35341aep|GALT2_DROME,0.0179167267941933
t34860aep|PQBP1_BOVIN,0.0128369921677594
t34870aep|RDHE2_HUMAN,0.016936547323927
t32653aep|DRAM2_MOUSE,0.593726324951108
t32650aep|RL17_PODCA,0.153039203557795
t32647aep|DD3_DICDI,0.0282237190347354
t32393aep|RNP3_SCHPO,0.0138422198693037
t31704aep|C1GLT_DROME,0.0158404044547301
t37839aep|ZFAN1_HUMAN,0.108885445798775
t37842aep|MOB1B_MOUSE,0.0338052507551672
t37848aep|GHC2_RAT,0.0436009766426272
t37085aep|STK16_RAT,0.0659462659719671
t26086aep|ADRO_RAT,0.0920698077473899
t6439aep|FLII_HUMAN,0.011063576653197
t26076aep|JAZF1_MOUSE,0.00305423648720493
t5701aep|AXIN1_HUMAN,0.0492623374866187
t29949aep|OPSD_NEOAU,0.0363625500783383
t1171aep|TOB1_HUMAN,0.0368845185462697
t24151aep|ADA19_MOUSE,0.0363625500783383
t15202aep|AP3B2_HUMAN,0.00728145436509045
t28618aep|LEXM_RAT,0.348627888923887
t15201aep|DPTOR_MOUSE,0.106882892883183
t28628aep|ST1B1_MOUSE,0.00698923218120724
