t3690aep|SYCC_MACFA,0.270985678925075
t3648aep|SMCA5_MOUSE,0.0111659647723753
t3676aep|TES_CHICK,0.0279228289141605
t3666aep|PNCB_DROME,0.134956048124797
t3692aep|SMYD3_HUMAN,0.0175876096353765
t3693aep|PCKGM_MOUSE,0.0367785191595096
t3699aep|TTC23_HUMAN,0.0202439234826389
t14aep|MFSD6_PIG,1.86345972429805
t27aep|CCD97_MOUSE,0.0429993181433012
t3aep|G3ST3_MOUSE,0.0461773012503337
t23855aep|RS8_THEAN,0.0115990495233305
t23853aep|FAT4_HUMAN,0.0168912665871255
t4aep|E2F5_HUMAN,0.0755804470617123
t17575aep|ENDUB_DANRE,0.0419323996642332
t17610aep|S17B1_XENLA,0.923095876250584
t17596aep|ZRAN1_HUMAN,0.0186324624445349
t17584aep|A16A1_RAT,0.0281707151354962
t29181aep|UB2J1_HUMAN,0.38521222181491
t29189aep|ANPRA_MOUSE,0.00758757633542533
t17571aep|AMT1_CAEEL,0.0144561552871389
t29186aep|SSPO_BOVIN,0.270218831356268
t30269aep|ZN511_DANRE,0.00396670455756239
t30277aep|YHD6_SCHPO,0.0296498497923913
t30278aep|CEP63_CHICK,0.0018445584182346
t20788aep|TAF4_HUMAN,0.0431740550468756
t30279aep|GORS2_HUMAN,0.337146028840948
t30272aep|PTN1_CHICK,0.0551492363070802
t12652aep|NDC80_XENLA,0.0566111426802986
t3212aep|SDHA_RAT,0.206848199775231
t24795aep|P4HTM_HUMAN,0.847279053598995
t24800aep|KCP_XENLA,0.0901069404060529
t24801aep|RS26_ANOGA,0.051719611560103
t3203aep|ZNRF2_DANRE,0.060464459000989
t12642aep|FOXL1_MOUSE,0.406116891762343
t3206aep|PACN1_PONAB,0.0624545452878409
t24788aep|SYT4_RAT,0.0540102127065262
t12648aep|DUT_HUMAN,0.0415572943943833
t27586aep|RHG06_MOUSE,0.0361296049966711
t12110aep|EMC7_HUMAN,0.27766864815237
t13608aep|JIP1_HUMAN,0.479630900354923
t13609aep|AP1S2_HUMAN,0.143756371162371
t16628aep|CBPD_LOPSP,0.0624545452878409
t28909aep|PMS2_HUMAN,0.0762860689338682
t12673aep|OSCP1_RAT,0.228995349444371
t16624aep|FKB14_MOUSE,3.05910960627088
