t36935aep|KCNC1_HUMAN,0
t36927aep|PLXA3_RAT,-0.00943445599360781
t36922aep|KLC4_HUMAN,0
t36932aep|IQCD_BOVIN,0
t36933aep|ATG2B_HUMAN,0.00266900162614391
t36930aep|RTJK_DROME,0
t36934aep|KAPCB_HUMAN,0
t36928aep|CACB2_RABIT,-0.30926791578705
t36920aep|SWI5_HUMAN,0.000349564041491598
t36923aep|ZGRF1_MOUSE,-0.0408552286796962
t35832aep|SPTN1_HUMAN,0.020920393584816
t35835aep|IFT22_XENTR,0.0270637344970455
t35827aep|RTBS_DROME,0
t35829aep|PLPL9_HUMAN,0.0230884325965568
t35007aep|NPFF2_HUMAN,0
t35009aep|SPB10_BOVIN,0.0265444943320096
t35000aep|S23IP_MOUSE,0.0274537880246865
t35017aep|HSF_XENLA,0.0507792998397724
t35008aep|OPN4_PHOSU,0.296860824667551
t35013aep|HERC1_HUMAN,0.000677779369935051
t35014aep|HERC1_HUMAN,0.018296057353702
t35011aep|HEMK1_HUMAN,-0.000514652243152551
t35005aep|CHRD_XENLA,0.00715802850633271
t34999aep|SRBP1_PIG,0.754911325722471
t35003aep|CTNS_HUMAN,0.356870449437733
t35006aep|CER1_HUMAN,0.161773626164975
t32094aep|TCB2_CAEBR,0
t32106aep|TLN2_HUMAN,0.371359169125001
t32100aep|PRRT1_MOUSE,0.669547613377511
t32108aep|FITM2_XENTR,0.0235894959906674
t32103aep|CUL1_ARATH,0.0193797279753852
t32102aep|KRI1_MOUSE,0.023059122163181
t32104aep|ASIC1_MOUSE,0
t32112aep|HACE1_HUMAN,0.157098959918091
t32111aep|TAF9B_RAT,-0.073170053537779
t32101aep|NEK4_HUMAN,-0.024372780094738
t32099aep|DDX46_MOUSE,0.0389380894424357
t32107aep|PPIL4_HUMAN,-0.18732677286696
t32321aep|DYH7_HUMAN,0.0612530225706096
t32312aep|DJB12_MOUSE,0
t32316aep|IPP_HUMAN,0.0348556305904944
t32313aep|USP9X_HUMAN,-0.110298627160126
t32319aep|AAPK2_HUMAN,-0.0152307246810991
t32315aep|IN80B_HUMAN,0.0821831093956202
t32323aep|SYMC_XENLA,-0.0322337294135019
t36032aep|ABCA1_HUMAN,0.0740468187265881
t36031aep|ANPRA_MOUSE,0.18812696951334
t36039aep|GRM3_HUMAN,0
t36035aep|TCEA2_HUMAN,0.0189462638455256
t36962aep|RTBS_DROME,0.0193797279753852
t34090aep|MYLK_RABIT,0.626233699129442
t35694aep|NLTP_MOUSE,0.0310976975718689
t35695aep|HMCN1_HUMAN,0
t35700aep|TWHH_DANRE,0
t35701aep|HOME2_HUMAN,-0.0530101848233885
t35698aep|VPS36_XENLA,-0.0776548467215854
t35690aep|HMGX4_HUMAN,-0.0284300115611699
t32144aep|CHST3_CHICK,0
t32136aep|ZDH11_MOUSE,0.665645370274017
t33384aep|GPR1_MACMU,0
t32148aep|DPOA2_HUMAN,0.0193797279753852
t32140aep|RAD2B_ARATH,0.0314515080528369
t32147aep|DDX10_HUMAN,-0.0883260572151004
t32151aep|HE_PARLI,0.0633893830224616
t32143aep|RN212_MOUSE,0
t37190aep|DUR1_LACKL,0
t37191aep|DUR1_LACKL,0
t37177aep|MDC1_RAT,0.0153742199297068
t37182aep|HMCN1_HUMAN,0
t37192aep|FBXW2_MOUSE,0.0227085715750164
t37187aep|CDK7_HUMAN,0.0882153918739254
t37178aep|MSH3_MOUSE,0
t37176aep|ABCA2_DICDI,0
t38445aep|ATRX_PONPY,0.304330376326593
t38447aep|SAX_LITCT,0.0337564031976877
t38446aep|RNF10_XENLA,-0.113168971649896
t38442aep|SMC1A_HUMAN,-0.00552313715957739
t38440aep|AGGF1_MOUSE,0.115670591186069
t38435aep|DHX9_XENLA,-0.193247883039025
t36572aep|NLR1A_MOUSE,0.0435410962810427
t36565aep|TF29_SCHPO,0
t36566aep|YRD6_CAEEL,0
t36568aep|POL_SIVEK,0
t33385aep|CDD_DICDI,0.0386117052363264
t36571aep|FL2D_DANRE,0.0868526474495263
t36569aep|BCD1_PONAB,0.0881285166706033
t36564aep|D19L3_HUMAN,0.031827747215713
t36557aep|DHSO_BOVIN,-0.227371917881909
t36738aep|ZSCA2_MOUSE,0.00818612463779171
t36736aep|ARP8_SALSA,-0.00602017296987897
t36745aep|DYLT1_RAT,0
t36749aep|NEMP1_XENTR,0.0359563077557968
t36744aep|ZER1_HUMAN,0.0379315870177614
t36735aep|S30BP_HUMAN,0.0980793515872859
t36741aep|DYHC1_MOUSE,0.0772303672119255
t38618aep|MOS1T_DROMA,0
t38619aep|AL8A1_DANRE,0.138730775655213
t38616aep|G3ST1_HUMAN,0
t38623aep|EGL15_CAEEL,0
t38621aep|MOCS3_AEDAE,-0.0355770590857746
t38617aep|U2AFM_HUMAN,-0.101032542389689
t34473aep|PGBD4_HUMAN,0
