t37307aep|SPTCS_HUMAN,0.0105198144491548
t37276aep|SETMR_HUMAN,0.0102945955412363
t37256aep|PTPRS_RAT,0.0102945955412363
t37258aep|PTPRS_MOUSE,0.0102945955412363
t37257aep|PTPRS_MOUSE,0.0205640666875556
t31485aep|TOR1A_MACFA,0.541010927144209
t31478aep|TCB2_CAEBR,0.0102945955412363
t31525aep|HOBOT_DROME,0.00672910783446392
t31534aep|RTXE_DROME,0.0205640666875556
t31545aep|NEK10_MOUSE,0.0479543228821856
t31533aep|FRS5_ARATH,0.0265597707948406
t34404aep|RTBS_DROME,0.0205640666875556
t34405aep|RTXE_DROME,0.0102945955412363
t34421aep|GTD2A_HUMAN,0.0102945955412363
t34387aep|YDJC_MOUSE,0.00411974204369707
t34397aep|ZBED1_HUMAN,0.0102945955412363
t34424aep|TRY3_SALSA,2.98116954543884
t34415aep|CC157_BOVIN,0.0319535967504168
t32521aep|POGK_MOUSE,0.0102945955412363
t32570aep|SYT11_HUMAN,0.00232662132348514
t32528aep|RTJK_DROME,0.0102945955412363
t32529aep|LOXH1_MOUSE,0.74345835741608
t32535aep|ZBED4_MOUSE,0.0102945955412363
t32571aep|RTBS_DROME,0.000294896788462103
t32553aep|PHYSA_PHYPO,0.0102945955412363
t31234aep|UCHL3_HUMAN,0.0312805703397103
t38292aep|BVMO2_STRCO,0.397700706987223
t38274aep|TOPRS_MOUSE,0.0141914844408203
t38303aep|IFT81_MOUSE,0.229765342442683
t38284aep|WDR66_HUMAN,0.179741852257982
t38295aep|Y1931_DICDI,0.0205640666875556
t38315aep|CP131_DANRE,0.105630386321173
t38280aep|GRDP2_ARATH,0.0205640666875556
t38310aep|FGFR3_DANRE,0.0184643114513436
t32019aep|RTJK_DROME,0.0102945955412363
t32021aep|YRD6_CAEEL,0.0102945955412363
t32035aep|GRM8_HUMAN,0.0178289419621571
t32032aep|SOX7_XENTR,0.0308086523136467
t32010aep|DD3_DICDI,0.0102945955412363
t32011aep|SAL_SILAS,0.0205640666875556
t31986aep|ZMYM1_HUMAN,0.0138304956873755
t31997aep|ZNFX1_MOUSE,0.0884602122294771
t32023aep|RTJK_DROME,0.0191734612937494
t35471aep|FHAD1_HUMAN,0.0551213882793117
t35487aep|SVOP_XENLA,0.00705463181415158
t35488aep|AGO2_HUMAN,0.515520344762842
t35454aep|PK1L2_HUMAN,0.0102945955412363
t35455aep|PK1L2_MOUSE,0.0102945955412363
t35503aep|DSCL1_CHICK,0.0237928489007355
t31770aep|VWA3B_HUMAN,0.0348865093051738
t37568aep|DLEC1_HUMAN,0.00283436664082382
t37531aep|GTD2B_HUMAN,0.0102945955412363
t37581aep|AGRB3_MOUSE,0.0102945955412363
t37577aep|RTJK_DROME,0.023203130866363
t37546aep|HH_DROMO,0.0102945955412363
t37551aep|POGK_HUMAN,0.00360459664673528
t37534aep|PGBD2_HUMAN,0.0271245703094892
t32976aep|ZMYM1_HUMAN,0.00706723929382178
t33023aep|PPSB_BACSU,0.00107354104316954
t33020aep|TSP3_MOUSE,0.217291598990984
t32967aep|TRA1_MAIZE,0.0163048855404023
t32997aep|HMCN1_HUMAN,0.00925466350553012
t33004aep|CNTP2_HUMAN,0.425351032329725
t32998aep|GVIN1_MOUSE,0.0205640666875556
t35592aep|SE1L2_HUMAN,0.0138704423096514
t35576aep|ZBED4_MOUSE,0.00650188906137833
t35587aep|ZBED1_HUMAN,0.0112804013390823
t35620aep|RTJK_DROME,0.013932797884744
t35573aep|SHL2_ORYSJ,0.219209745208661
t35607aep|RTJK_DROME,0.0258353027040138
t34214aep|RTJK_DROME,0.0205640666875556
t34201aep|RTJK_DROME,0.0185501323385381
t34205aep|RN213_MOUSE,0.0102945955412363
t34206aep|TIGD6_HUMAN,0.0102945955412363
t34247aep|TC1A_CAEEL,0.0237136025919951
t34267aep|H2B3_TIGCA,0.0123099078834586
t34240aep|ZMYM1_HUMAN,0.0102945955412363
t34261aep|AGRL3_BOVIN,0.0141106832972309
t34248aep|JERKL_HUMAN,0.0156153668450012
t34276aep|AGRG4_HUMAN,0.0132901810835555
t34245aep|AGRG2_MOUSE,0.0038043300745865
t37932aep|ZMYM1_HUMAN,0.0102945955412363
t37857aep|GIN1_HUMAN,0.0217018590723898
t37917aep|SUREJ_STRPU,0.00707409578553263
t37902aep|TRAF4_HUMAN,0.1293574716969
t37924aep|PELET_DROME,0.0246494042378648
t37329aep|GIN1_PONAB,0.0205640666875556
t31773aep|OST4_RAT,0.232675613905687
t32083aep|OPN4_BRABE,0.0546503537409383
t31596aep|HSP13_HUMAN,0.0525182769634267
t31595aep|ACBD6_RAT,0.0185556081264641
t37598aep|GRM3_MOUSE,0.0613954383156536
t37472aep|PDE12_MOUSE,0.00808478388536147
t37469aep|YDJC_XENLA,0.0102945955412363
