t32552aep|CTRO_HUMAN,0.453298052071989
t32541aep|S15A4_XENLA,0.140823390395092
t32526aep|TDRD3_MOUSE,0.149875526353635
t32570aep|SYT11_HUMAN,0.272281318321275
t32529aep|LOXH1_MOUSE,0.234203052049739
t32571aep|RTBS_DROME,0.0359066080093459
t32573aep|RTBS_DROME,0.0188362038015068
t32545aep|AT1A_HYDVU,0.895142139317128
t32575aep|PARP4_HUMAN,0.462686870317822
t31234aep|UCHL3_HUMAN,0.113784478085421
t38292aep|BVMO2_STRCO,0.0337028998614629
t38304aep|S22A4_HUMAN,0.526477325671892
t31240aep|CCND2_BOVIN,0.106245424255031
t38284aep|WDR66_HUMAN,0.240800680734512
t38280aep|GRDP2_ARATH,0.0188362038015068
t38253aep|ABCB1_DICDI,0.0465500299985704
t38310aep|FGFR3_DANRE,0.025216426038128
t38293aep|NALDL_RAT,0.332122406448389
t32047aep|RTJK_DROME,0.00981964575922475
t32025aep|P52K_HUMAN,0.0133938259772142
t32029aep|TGS1_RAT,0.0199745096036999
t32002aep|HMCN1_HUMAN,0.0170027230948799
t32000aep|RET_RAT,0.141951550954558
t32011aep|SAL_SILAS,0.0188362038015068
t32023aep|RTJK_DROME,0.0259255758805338
t32012aep|TTC3_HUMAN,0.110190303995917
t35471aep|FHAD1_HUMAN,0.00201950964514279
t35487aep|SVOP_XENLA,0.024051332027027
t35488aep|AGO2_HUMAN,1.09764590029173
t35456aep|PK1L2_MOUSE,0.0375607669004311
t35477aep|RTJK_DROME,0.0266848800321788
t35510aep|DOCK6_HUMAN,0.0596415061246904
t35490aep|RBBP5_DROME,0.0188362038015068
t35461aep|THAP9_HUMAN,0.000657845684846503
t35503aep|DSCL1_CHICK,0.0168472128761143
t35514aep|JERKL_HUMAN,0.131366445243712
t35446aep|CRA1B_DANRE,0.481567949539624
t37537aep|ZMYM5_HUMAN,0.0188362038015068
t37538aep|ZMYM1_HUMAN,0.0298027879701337
t37531aep|GTD2B_HUMAN,0.0188362038015068
t37577aep|RTJK_DROME,0.12197465277571
t37546aep|HH_DROMO,0.0188362038015068
t37551aep|POGK_HUMAN,0.0121462049070058
t37569aep|SCND3_HUMAN,0.0436549563831428
t37534aep|PGBD2_HUMAN,0.0023729002363582
t33023aep|PPSB_BACSU,0.202537645582381
t32991aep|FBX30_RAT,0.110287241648803
t33020aep|TSP3_MOUSE,0.0207127015767947
t32984aep|RXR_BIOGL,0.119058436237929
t32983aep|LRRK2_MOUSE,0.0365048694192597
t32998aep|GVIN1_MOUSE,0.0375607669004311
t35576aep|ZBED4_MOUSE,0.015043497321649
t35627aep|AL14E_BOVIN,0.0659657438588364
t35590aep|RTBS_DROME,0.117318424230582
t31763aep|RN103_MOUSE,0.163308506177471
t35587aep|ZBED1_HUMAN,0.00184563469771106
t35620aep|RTJK_DROME,0.0104649766125156
t35604aep|JERKL_HUMAN,0.0247001244523775
t35579aep|RTJK_DROFU,0.00981964575922475
t35607aep|RTJK_DROME,0.00364291833286156
t34201aep|RTJK_DROME,0.199622237260874
t34209aep|TCB2_CAEBR,0.0158061744315029
t31766aep|SFT2A_MOUSE,0.174133840630847
t34247aep|TC1A_CAEEL,0.0388607923277752
t34240aep|ZMYM1_HUMAN,0.0298027879701337
t34261aep|AGRL3_BOVIN,0.120758976012717
t34234aep|BRWD1_HUMAN,0.108662088122376
t34256aep|ZMYM1_HUMAN,0.0188362038015068
t34248aep|JERKL_HUMAN,0.0594899845642353
t34276aep|AGRG4_HUMAN,0.0367493441664894
t34246aep|THAP9_HUMAN,0.570910661840267
t37916aep|DEAH5_ARATH,1.10838460725751
t37937aep|AL14E_RAT,0.0381661003677762
t37857aep|GIN1_HUMAN,0.138240032620984
t37876aep|PZP_HUMAN,2.51908675083813
t37902aep|TRAF4_HUMAN,0.1333882965662
t37931aep|THAP1_BOVIN,0.0188362038015068
t37924aep|PELET_DROME,0.00245701986671262
t37901aep|LAR_DROME,0.0270935653959905
t37855aep|THAP9_HUMAN,0.0743189421222265
t37336aep|ZMYM1_HUMAN,0.0314080343585873
t37334aep|MTPN_DANRE,0.143570389342236
t32083aep|OPN4_BRABE,0.91524748819992
t31767aep|FKBP9_RAT,1.57342266776787
t37601aep|PROF_SUBDO,0.0197487011377504
t37595aep|SIM12_MOUSE,0.0180309013089338
t37469aep|YDJC_XENLA,0.0188362038015068
t36827aep|CAC1D_MESAU,0.0147812286870321
t36625aep|SEC20_HUMAN,0.000394580273571861
t37198aep|CFA54_HUMAN,0.0188362038015068
t37209aep|TRAF6_BOVIN,0.00583171722987681
t34847aep|Y165_RICPR,0.0188362038015068
t32446aep|K0513_HUMAN,0.0269104887318834
t34840aep|DYH5_HUMAN,0.0188362038015068
t37992aep|PCP_BOVIN,0.0188362038015068
t34133aep|TM2D1_HUMAN,0.110597067113298
t34122aep|MAD1_MOUSE,0.762847355574538
t36403aep|ZBED5_HUMAN,0.0670148904166678
t34584aep|SIL1_MOUSE,0.0246432923476061
t34588aep|Y9963_DICDI,0.0188362038015068
t31759aep|MPC2_PONAB,0.993590302629057
t34063aep|RRAGD_HUMAN,0.0188362038015068
t34818aep|DUS22_HUMAN,0.320137896220049
t34824aep|PCR3_ARATH,0.0749526336495396
t36641aep|ELMD3_BOVIN,0.0534195711855168
t36556aep|AGRIN_MOUSE,0.0188362038015068
t36138aep|RCAN1_PONAB,0.000984886274500427
t35637aep|RNF11_MOUSE,0.151040375577757
t34627aep|COXM1_BOVIN,0.0199659646048711
t34633aep|TF2H5_CHICK,0.00985314885375587
t34636aep|RAB4B_DANRE,0.153135412422613
t36843aep|VKT4_DABRR,0.0375607669004311
t34617aep|VPS8_HUMAN,0.0297452490233384
t31554aep|CYT_NOTSC,5.33120291730527
t31467aep|MCTP1_HUMAN,1.48604621069701
t31471aep|APOB_RAT,0.617269974714444
t34616aep|PIF1_XENLA,0.0283397124023641
t36847aep|DYH3_HUMAN,0.0188362038015068
t36857aep|TPPC2_XENTR,0.0605474144038902
t32073aep|PIGE_DROME,0.0682926954388497
t32071aep|TAAR3_RAT,0.45692783440781
t34613aep|ANO6_MOUSE,0.0375607669004311
t38527aep|ANK1_HUMAN,0.161832741825209
t31256aep|ABRAL_SALSA,0.385914161595693
t38088aep|ROBO3_HUMAN,0.0159061680260584
t35274aep|RAB32_HUMAN,0.0538642494959752
t35167aep|PTPRQ_RAT,0.0188362038015068
t32130aep|NPC2_DROME,0.619484674859057
t32133aep|SCOCB_DANRE,0.0551991846840697
t35715aep|RN181_DANRE,0.316034175993818
t37831aep|TPMT_NITMU,0.0258710924853776
t36013aep|GSTT1_BOVIN,0.0779529247523062
t36195aep|PYGO_DROME,0.0653869086736134
t35970aep|CNIH4_XENTR,0.00917388397694762
t33793aep|PLEC_HUMAN,0.0236902634950082
t38349aep|UCPB_DICDI,0.0188362038015068
t34904aep|RTJK_DROME,0.0188362038015068
