t36994aep|KINH_SYNRA,0.0131941897118008
t37004aep|MICA2_RAT,0.0150925306449911
t36995aep|PGDH_BOVIN,0.18329587795664
t35160aep|ZN862_HUMAN,0.00944201430039397
t35146aep|ABR_BOVIN,0.206764418036117
t35152aep|ACTP1_ANTAS,0.00417206014833095
t35144aep|NLTP_MOUSE,0.299488476703965
t35153aep|RTBS_DROME,0.00526614911684996
t35149aep|5HT1F_HUMAN,0.0264843379266358
t35154aep|DJC17_BOVIN,0.086569710317997
t35155aep|PRS8_DROME,0.224182841917015
t37986aep|TIDC1_HUMAN,0.0817680986210015
t37987aep|MET17_MOUSE,0.289603586277289
t37978aep|HDGF_RAT,0.138905454371392
t37981aep|GAPR1_MOUSE,0.0079049884928549
t33517aep|OPSD2_MIZYE,0.00263115248132942
t33520aep|DDX17_MOUSE,0.062907737433636
t33498aep|DDX51_DANRE,0.0402822213770002
t33506aep|GP126_MOUSE,0.118490257411354
t33519aep|CCD25_DANRE,0.102056516279461
t33518aep|INT7_CHICK,0.0328785639809012
t38565aep|PDXK_HUMAN,0.000690690568454765
t38573aep|CL004_RAT,0.0288302032160136
t38571aep|VLDLR_HUMAN,0.237673897517982
t38572aep|TADA1_RAT,0.161045428751366
t38574aep|DDX31_MOUSE,0.00342230491269643
t38564aep|DEN2C_HUMAN,0.0229469699030349
t31271aep|GAB1_MESAU,0.000193909313125529
t31280aep|ANKL1_HUMAN,0.00836150609155579
t31277aep|NHEJ1_DANRE,0.0342716894588269
t31269aep|DALD3_RAT,0.0612705850208984
t33776aep|ASIC3_HUMAN,0.995900775682246
t33775aep|UB2G2_PONAB,0.0750402533503356
t33784aep|LTBP1_RAT,0.00263115248132942
t33778aep|LARP1_MOUSE,0.153335911539685
t31950aep|B3GN2_HUMAN,0.2328783652133
t31934aep|MENG_LEPIN,0.0332336201976712
t31935aep|AP4S1_HUMAN,0.0191145657259033
t31947aep|HLH11_CAEEL,0.0352550560786314
t31931aep|ANK3_MOUSE,0.174371287423937
