t34404aep|RTBS_DROME,0.0091907562565118
t34397aep|ZBED1_HUMAN,0.0091907562565118
t34424aep|TRY3_SALSA,6.43712656471489
t34377aep|SMAL1_RAT,0.0663614598173509
t34415aep|CC157_BOVIN,0.0671100924632295
t34362aep|POL4_DROME,0.0091907562565118
t32541aep|S15A4_XENLA,0.0451650884602551
t32566aep|RTJK_DROFU,0.0091907562565118
t32521aep|POGK_MOUSE,0.0091907562565118
t32570aep|SYT11_HUMAN,0.00122278203876072
t32528aep|RTJK_DROME,0.0275128691562602
t32529aep|LOXH1_MOUSE,0.473533233889049
t32539aep|P52K_HUMAN,0.0091907562565118
t32549aep|NUD22_RAT,0.0272292650187347
t38292aep|BVMO2_STRCO,0.954985090681422
t31240aep|CCND2_BOVIN,0.178244372705643
t38316aep|AB22G_ARATH,0.017218273615024
t38303aep|IFT81_MOUSE,0.106397081639394
t38284aep|WDR66_HUMAN,0.0231892557295477
t38315aep|CP131_DANRE,0.0713250770262065
t38280aep|GRDP2_ARATH,0.0183616565381938
t32047aep|RTJK_DROME,0.0632927158628082
t32025aep|P52K_HUMAN,0.00374837843221929
t32035aep|GRM8_HUMAN,0.0652879460636262
t32013aep|ZIFL1_ARATH,0.511482738639403
t32011aep|SAL_SILAS,0.0091907562565118
t31997aep|ZNFX1_MOUSE,0.350924275715598
t32023aep|RTJK_DROME,0.052288950241367
t35471aep|FHAD1_HUMAN,0.00935212581139172
t35487aep|SVOP_XENLA,0.00485222166478967
t35488aep|AGO2_HUMAN,1.74643598295339
t35454aep|PK1L2_HUMAN,0.0091907562565118
t35456aep|PK1L2_MOUSE,0.0091907562565118
t35477aep|RTJK_DROME,0.0610162725395275
t35461aep|THAP9_HUMAN,0.0376132968374843
t35489aep|JERKL_HUMAN,0.0091907562565118
t37537aep|ZMYM5_HUMAN,0.0091907562565118
t31770aep|VWA3B_HUMAN,0.0203069628176463
t37581aep|AGRB3_MOUSE,0.0091907562565118
t37577aep|RTJK_DROME,0.0199073477089765
t37553aep|TRA1_MAIZE,0.731301107343581
t37541aep|POLR_DROME,0.0091907562565118
t37546aep|HH_DROMO,0.0091907562565118
t37551aep|POGK_HUMAN,0.011671657643693
t37569aep|SCND3_HUMAN,0.00584083501289705
t33011aep|PELET_DROME,0.00318821879937291
t32976aep|ZMYM1_HUMAN,0.0037714561364354
t33020aep|TSP3_MOUSE,0.134626366652321
t33004aep|CNTP2_HUMAN,0.258263079544018
t35592aep|SE1L2_HUMAN,0.188701516363399
t35576aep|ZBED4_MOUSE,0.00539804977665368
t35590aep|RTBS_DROME,0.0554600344787183
t35608aep|DDX60_HUMAN,0.106083979167292
t35587aep|ZBED1_HUMAN,0.0553187048012947
t35620aep|RTJK_DROME,0.0277542446402084
t35604aep|JERKL_HUMAN,0.0146522267082066
t35573aep|SHL2_ORYSJ,0.616972582152898
t35579aep|RTJK_DROFU,0.0051158041144194
t35607aep|RTJK_DROME,0.00316837106954835
t35626aep|PGBD4_HUMAN,0.0183616565381938
t34215aep|SETMR_RAT,0.129858019680053
t34201aep|RTJK_DROME,0.00503441332213875
t34219aep|POL5_DROME,0.00212631423117509
t34206aep|TIGD6_HUMAN,0.0091907562565118
t34247aep|TC1A_CAEEL,0.0101978835755957
t34261aep|AGRL3_BOVIN,0.00972665558699102
t34230aep|RTBS_DROME,0.0091907562565118
t34246aep|THAP9_HUMAN,0.00377688261219876
t37916aep|DEAH5_ARATH,0.00659484987228295
t37857aep|GIN1_HUMAN,0.0352680737796072
t37859aep|YTX2_XENLA,0.00032391236606494
t37917aep|SUREJ_STRPU,0.0140228982542373
t37902aep|TRAF4_HUMAN,0.0584307840371291
t37869aep|TC3A_CAEEL,0.0091907562565118
t37855aep|THAP9_HUMAN,0.00335717262867883
t37336aep|ZMYM1_HUMAN,0.00303802371466817
t37329aep|GIN1_PONAB,0.0091907562565118
t31773aep|OST4_RAT,0.303502852673992
t32079aep|RTBS_DROME,0.0183616565381938
t32083aep|OPN4_BRABE,0.302018513556466
t32087aep|RPC9_BOVIN,0.00947137768020813
t36296aep|ECHM_RAT,0.0249472556408558
t31596aep|HSP13_HUMAN,0.0634226207169553
t31589aep|COCH_CHICK,0.0091907562565118
t31595aep|ACBD6_RAT,0.0268224261839591
t36282aep|DPP9_HUMAN,0.0091907562565118
t37605aep|RFA3_MOUSE,0.0244465668786727
t37469aep|YDJC_XENLA,0.0183616565381938
t36827aep|CAC1D_MESAU,0.0138650222490206
t36625aep|SEC20_HUMAN,0.018735652377185
t37209aep|TRAF6_BOVIN,0.00442922587829317
t34847aep|Y165_RICPR,0.0275128691562602
t32446aep|K0513_HUMAN,0.0490023672385599
t35324aep|5HT2B_HUMAN,0.0782676564151161
t34857aep|U390_DANRE,0.144009622914528
t34840aep|DYH5_HUMAN,0.0275128691562602
t34853aep|FUT4_HUMAN,1.31006455994826
t34354aep|NIT1_BOVIN,0.0300527945413772
t36424aep|Y1101_SYNY3,0.450280732112772
t34018aep|WDR88_HUMAN,0.0091907562565118
t37115aep|CFA46_HUMAN,0.0091907562565118
t34911aep|HSP70_HYDVU,0.413370348283836
t35927aep|KCRB_BOVIN,0.0183616565381938
t35745aep|OARD1_MOUSE,0.642799275396181
t34584aep|SIL1_MOUSE,0.0242452740171382
t34983aep|RTJK_DROME,0.0183616565381938
t35278aep|NOP10_DANRE,0.159837322007824
t34116aep|CFA57_MOUSE,0.0091907562565118
t34113aep|SPCS1_DROME,0.455964825177929
t34069aep|ERIP6_HUMAN,0.0308656454642923
t34075aep|HYDIN_MOUSE,0.123205652633897
t34083aep|OCAD1_DANRE,0.0859020156709679
t33674aep|TIM22_XENTR,0.0696811192079382
t34064aep|RS27L_BOVIN,0.0407806191746575
t34824aep|PCR3_ARATH,0.0185119710974016
t34821aep|CTP5A_MOUSE,0.0183616565381938
t34642aep|ASNA_NEMVE,0.0656829628949441
t34640aep|ARF_MAIZE,0.0045522622584207
t35636aep|GLRX_RICCO,0.0716360059829815
t37619aep|TENA_HUMAN,0.0419772736703958
t36556aep|AGRIN_MOUSE,0.0091907562565118
t36146aep|SCND3_HUMAN,0.0183616565381938
t35637aep|RNF11_MOUSE,0.0757341559677307
t38607aep|TU92_POLAB,0.0091907562565118
t37033aep|DRD1_HUMAN,0.0091907562565118
t33325aep|KCNH2_MOUSE,0.0183616565381938
t34627aep|COXM1_BOVIN,0.0475509905839651
t35109aep|COX17_CANLF,0.062944970738304
